Player,Pos,Age,Ht,Wt,Exp,Birth Date,Salary,Draft
Nikita Alexandrov,F,21,Jun-00,183,R,September 16 2000,70000.00,2019 STL 2nd (62)
Sam Anas,F,28,8-May,157,R,June 1 1993,350000.00,
Ivan Barbashev,F,26,Jun-00,187,5,December 14 1995,1900000.00,2014 STL 2nd (33)
Jordan Binnington,G,28,1-Jun,174,4,July 11 1993,4000000.00,2011 STL 3rd (88)
Robert Bortuzzo,D,32,4-Jun,216,10,March 18 1989,1375000.00,2007 PIT 3rd (78)
Tyler Bozak,F,35,1-Jun,199,12,March 19 1986,750000.00,
Logan Brown,F,23,6-Jun,218,4,March 5 1998,100000.00,2016 OTT 1st (11)
Pavel Buchnevich,F,26,3-Jun,196,5,April 17 1995,4500000.00,2013 NYR 3rd (75)
Kyle Clifford,F,31,2-Jun,211,11,January 13 1991,1300000.00,2009 LAK 2nd (35)
Tommy Cross,D,32,3-Jun,201,1,September 12 1989,250000.00,2007 BOS 2nd (35)
Tanner Dickinson,F,19,Jun-00,154,R,March 5 2002,80000.00,2020 STL 4th (119)
Colten Ellis,G,21,Jun-00,189,R,October 5 2000,70000.00,2019 STL 3rd (93)
Justin Faulk,D,29,Jun-00,217,10,March 20 1992,9000000.00,2010 CAR 2nd (37)
Michael Frolik,F,33,1-Jun,190,13,February 17 1988,,2006 FLA 1st (10)
Tyson Galloway,D,19,4-Jun,214,R,January 20 2003,,2021 STL 5th (145)
Joel Hofer,G,21,3-Jun,160,R,July 30 2000,70000.00,2018 STL 4th (107)
Ville Husso,G,26,3-Jun,205,1,February 6 1995,750000.00,2014 STL 4th (94)
Dakota Joshua,F,25,2-Jun,199,1,May 15 1996,100000.00,2014 TOR 5th (128)
Tanner Kaspick,F,24,Jun-00,200,R,January 28 1998,80000.00,2016 STL 4th (119)
Klim Kostin,F,22,3-Jun,212,2,May 5 1999,70000.00,2017 STL 1st (31)
Torey Krug,D,30,9-May,186,10,April 12 1991,4000000.00,
Jordan Kyrou,F,23,Jun-00,175,3,May 5 1998,2400000.00,2016 STL 2nd (35)
Mathias Laferriere,F,21,1-Jun,175,R,June 27 2000,70000.00,2018 STL 6th (169)
Charlie Lindgren,G,28,1-Jun,182,5,December 18 1993,300000.00,
Griffin Luce,D,23,3-Jun,214,R,March 10 1998,,
Mackenzie MacEachern,F,27,2-Jun,190,3,March 9 1994,900000.00,2012 STL 3rd (67)
Hugh McGing,F,23,8-May,170,R,July 11 1998,70000.00,2018 STL 5th (138)
Niko Mikkola,D,25,4-Jun,185,2,April 27 1996,787500.00,2015 STL 5th (127)
James Neal,F,34,3-Jun,212,13,September 3 1987,,2005 DAL 2nd (33)
Jake Neighbours,F,19,11-May,201,R,March 29 2002,80000.00,2020 STL 1st (26)
Ryan O'Reilly,F,30,1-Jun,216,12,February 7 1991,1000000.00,2009 COL 2nd (33)
Colton Parayko,D,28,6-Jun,230,6,May 12 1993,5625000.00,2012 STL 3rd (86)
Matthew Peca,F,28,8-May,182,5,April 27 1993,300000.00,2011 TBL 7th (201)
David Perron,F,33,Jun-00,200,14,May 28 1988,3412500.00,2007 STL 1st (26)
Scott Perunovich,D,23,10-May,174,R,August 18 1998,70000.00,2018 STL 2nd (45)
Calle Rosen,D,27,1-Jun,186,3,February 2 1994,300000.00,
Brandon Saad,F,29,1-Jun,206,10,October 27 1992,4500000.00,2011 CHI 2nd (43)
Steven Santini,D,26,2-Jun,205,6,March 7 1995,300000.00,2013 NJD 2nd (42)
Marco Scandella,D,31,3-Jun,212,11,February 23 1990,3550000.00,2008 MIN 2nd (55)
Brayden Schenn,F,30,1-Jun,200,12,August 22 1991,8000000.00,2009 LAK 1st (5)
Nolan Stevens,F,25,3-Jun,183,R,July 22 1996,100000.00,2016 STL 5th (125)
Vladimir Tarasenko,F,30,Jun-00,225,9,December 13 1991,9500000.00,2010 STL 1st (16)
Robert Thomas,F,22,Jun-00,188,3,July 2 1999,2400000.00,2017 STL 1st (20)
Nathan Todd,F,26,Jun-00,176,R,December 2 1995,,
Alexey Toropchenko,F,22,3-Jun,187,R,June 25 1999,,2017 STL 4th (113)
Tyler Tucker,D,21,1-Jun,203,R,March 1 2000,70000.00,2018 STL 7th (200)
Nathan Walker,F,27,9-May,186,4,February 7 1994,300000.00,2014 WSH 3rd (89)
Jake Walman,D,25,1-Jun,170,2,February 20 1996,750000.00,2014 STL 3rd (82)
Keean Washkurak,F,20,10-May,185,R,August 16 2001,70000.00,2019 STL 5th (155)
Josh Wesley,D,25,3-Jun,200,R,April 9 1996,,2014 CAR 4th (96)
